category,video_id,video_path,input_frames_path,target_frame_path,template,label,placeholders,resolution
drop_object,211035,extracted_videos/20bn-something-something-v2/211035.webm,processed_data_256/frames/drop_object/211035_input.npy,processed_data_256/frames/drop_object/211035_target.npy,Dropping [something] behind [something],dropping brush behind mug,"['brush', 'mug']",256x256
cover_object,122233,extracted_videos/20bn-something-something-v2/122233.webm,processed_data_256/frames/cover_object/122233_input.npy,processed_data_256/frames/cover_object/122233_target.npy,Uncovering [something],uncovering a mobile phone,['a mobile phone'],256x256
move_object,135305,extracted_videos/20bn-something-something-v2/135305.webm,processed_data_256/frames/move_object/135305_input.npy,processed_data_256/frames/move_object/135305_target.npy,Moving away from [something] with your camera,moving away from mouse with your camera,['mouse'],256x256
drop_object,123731,extracted_videos/20bn-something-something-v2/123731.webm,processed_data_256/frames/drop_object/123731_input.npy,processed_data_256/frames/drop_object/123731_target.npy,Dropping [something] into [something],dropping a nail clipper into a white coffee mug,"['a nail clipper', 'a white coffee mug']",256x256
drop_object,55483,extracted_videos/20bn-something-something-v2/55483.webm,processed_data_256/frames/drop_object/55483_input.npy,processed_data_256/frames/drop_object/55483_target.npy,[Something] falling like a rock,perfume falling like a rock,['perfume'],256x256
move_object,180543,extracted_videos/20bn-something-something-v2/180543.webm,processed_data_256/frames/move_object/180543_input.npy,processed_data_256/frames/move_object/180543_target.npy,Pushing [something] from right to left,pushing mobile from right to left,['mobile'],256x256
drop_object,215071,extracted_videos/20bn-something-something-v2/215071.webm,processed_data_256/frames/drop_object/215071_input.npy,processed_data_256/frames/drop_object/215071_target.npy,"Lifting [something] up completely, then letting it drop down","lifting table calendar up completely, then letting it drop down",['table calendar'],256x256
cover_object,135456,extracted_videos/20bn-something-something-v2/135456.webm,processed_data_256/frames/cover_object/135456_input.npy,processed_data_256/frames/cover_object/135456_target.npy,Uncovering [something],uncovering color pencils,['color pencils'],256x256
move_object,92940,extracted_videos/20bn-something-something-v2/92940.webm,processed_data_256/frames/move_object/92940_input.npy,processed_data_256/frames/move_object/92940_target.npy,Moving [something] closer to [something],moving shawl closer to shawl,"['shawl', 'shawl']",256x256
drop_object,132678,extracted_videos/20bn-something-something-v2/132678.webm,processed_data_256/frames/drop_object/132678_input.npy,processed_data_256/frames/drop_object/132678_target.npy,Dropping [something] next to [something],dropping jar next to deodorant,"['jar', 'deodorant']",256x256
cover_object,210909,extracted_videos/20bn-something-something-v2/210909.webm,processed_data_256/frames/cover_object/210909_input.npy,processed_data_256/frames/cover_object/210909_target.npy,Covering [something] with [something],covering coin with tissue,"['coin', 'tissue']",256x256
