category,video_id,video_path,input_frames_path,target_frame_path,template,label,placeholders,resolution
drop_object,199598,extracted_videos/20bn-something-something-v2/199598.webm,./augmented_data_512/frames/drop_object/flip_199598_input.npy,./augmented_data_512/frames/drop_object/flip_199598_target.npy,[Something] falling like a feather or paper,green card falling like a feather or paper,['green card'],512x512
drop_object,125630,extracted_videos/20bn-something-something-v2/125630.webm,./augmented_data_512/frames/drop_object/flip_125630_input.npy,./augmented_data_512/frames/drop_object/flip_125630_target.npy,Dropping [something] behind [something],dropping aluminum can behind folded up camera tripod,"['aluminum can', 'folded up camera tripod']",512x512
cover_object,209330,extracted_videos/20bn-something-something-v2/209330.webm,./augmented_data_512/frames/cover_object/flip_209330_input.npy,./augmented_data_512/frames/cover_object/flip_209330_target.npy,Uncovering [something],uncovering a roll of tape,['a roll of tape'],512x512
cover_object,2735,extracted_videos/20bn-something-something-v2/2735.webm,./augmented_data_512/frames/cover_object/flip_2735_input.npy,./augmented_data_512/frames/cover_object/flip_2735_target.npy,Uncovering [something],uncovering a mobile,['a mobile'],512x512
move_object,49437,extracted_videos/20bn-something-something-v2/49437.webm,./augmented_data_512/frames/move_object/flip_49437_input.npy,./augmented_data_512/frames/move_object/flip_49437_target.npy,Moving [something] up,moving a mouse up,['a mouse'],512x512
drop_object,146756,extracted_videos/20bn-something-something-v2/146756.webm,./augmented_data_512/frames/drop_object/flip_146756_input.npy,./augmented_data_512/frames/drop_object/flip_146756_target.npy,Dropping [something] into [something],dropping keys into pet bed,"['keys', 'pet bed']",512x512
drop_object,177406,extracted_videos/20bn-something-something-v2/177406.webm,./augmented_data_512/frames/drop_object/flip_177406_input.npy,./augmented_data_512/frames/drop_object/flip_177406_target.npy,"Lifting [something] up completely, then letting it drop down","lifting water bottle up completely, then letting it drop down",['water bottle'],512x512
cover_object,41943,extracted_videos/20bn-something-something-v2/41943.webm,./augmented_data_512/frames/cover_object/flip_41943_input.npy,./augmented_data_512/frames/cover_object/flip_41943_target.npy,Uncovering [something],uncovering wallet,['wallet'],512x512
cover_object,99223,extracted_videos/20bn-something-something-v2/99223.webm,./augmented_data_512/frames/cover_object/flip_99223_input.npy,./augmented_data_512/frames/cover_object/flip_99223_target.npy,Uncovering [something],uncovering color pencils,['color pencils'],512x512
move_object,24444,extracted_videos/20bn-something-something-v2/24444.webm,./augmented_data_512/frames/move_object/flip_24444_input.npy,./augmented_data_512/frames/move_object/flip_24444_target.npy,Pulling two ends of [something] so that it gets stretched,pulling two ends of a balloon so that it gets stretched,['a balloon'],512x512
move_object,83554,extracted_videos/20bn-something-something-v2/83554.webm,./augmented_data_512/frames/move_object/flip_83554_input.npy,./augmented_data_512/frames/move_object/flip_83554_target.npy,Moving [something] up,moving 'pepsodent' tooth paste box up,"[""'pepsodent' tooth paste box""]",512x512
cover_object,152659,extracted_videos/20bn-something-something-v2/152659.webm,./augmented_data_512/frames/cover_object/flip_152659_input.npy,./augmented_data_512/frames/cover_object/flip_152659_target.npy,Uncovering [something],uncovering pouch,['pouch'],512x512
cover_object,187102,extracted_videos/20bn-something-something-v2/187102.webm,./augmented_data_512/frames/cover_object/flip_187102_input.npy,./augmented_data_512/frames/cover_object/flip_187102_target.npy,Covering [something] with [something],covering a clock with a t-shirt,"['a clock', 'a t-shirt']",512x512
cover_object,98626,extracted_videos/20bn-something-something-v2/98626.webm,./augmented_data_512/frames/cover_object/flip_98626_input.npy,./augmented_data_512/frames/cover_object/flip_98626_target.npy,Putting [something] onto [something],putting toy onto funnel,"['toy', 'funnel']",512x512
drop_object,68105,extracted_videos/20bn-something-something-v2/68105.webm,./augmented_data_512/frames/drop_object/flip_68105_input.npy,./augmented_data_512/frames/drop_object/flip_68105_target.npy,Dropping [something] into [something],dropping a spoon into a cup,"['a spoon', 'a cup']",512x512
cover_object,197964,extracted_videos/20bn-something-something-v2/197964.webm,./augmented_data_512/frames/cover_object/flip_197964_input.npy,./augmented_data_512/frames/cover_object/flip_197964_target.npy,Uncovering [something],uncovering toy,['toy'],512x512
drop_object,101225,extracted_videos/20bn-something-something-v2/101225.webm,./augmented_data_512/frames/drop_object/flip_101225_input.npy,./augmented_data_512/frames/drop_object/flip_101225_target.npy,Dropping [something] behind [something],dropping stapler behind glue gun,"['stapler', 'glue gun']",512x512
cover_object,209051,extracted_videos/20bn-something-something-v2/209051.webm,./augmented_data_512/frames/cover_object/flip_209051_input.npy,./augmented_data_512/frames/cover_object/flip_209051_target.npy,Covering [something] with [something],covering torch light with cloth,"['torch light', 'cloth']",512x512
cover_object,153265,extracted_videos/20bn-something-something-v2/153265.webm,./augmented_data_512/frames/cover_object/flip_153265_input.npy,./augmented_data_512/frames/cover_object/flip_153265_target.npy,Covering [something] with [something],covering pencil with paper,"['pencil', 'paper']",512x512
drop_object,87536,extracted_videos/20bn-something-something-v2/87536.webm,./augmented_data_512/frames/drop_object/flip_87536_input.npy,./augmented_data_512/frames/drop_object/flip_87536_target.npy,[Something] falling like a rock,orange falling like a rock,['orange'],512x512
move_object,8964,extracted_videos/20bn-something-something-v2/8964.webm,./augmented_data_512/frames/move_object/flip_8964_input.npy,./augmented_data_512/frames/move_object/flip_8964_target.npy,Pulling [something] out of [something],pulling tp-link router out of tp-link router box,"['tp-link router', 'tp-link router box']",512x512
move_object,59939,extracted_videos/20bn-something-something-v2/59939.webm,./augmented_data_512/frames/move_object/flip_59939_input.npy,./augmented_data_512/frames/move_object/flip_59939_target.npy,Moving [something] and [something] so they pass each other,moving wireless mouse and mobile so they pass each other,"['wireless mouse', 'mobile']",512x512
cover_object,152317,extracted_videos/20bn-something-something-v2/152317.webm,./augmented_data_512/frames/cover_object/flip_152317_input.npy,./augmented_data_512/frames/cover_object/flip_152317_target.npy,Putting [something] onto [something],putting cigarette lighter onto glass,"['cigarette lighter', 'glass']",512x512
