category,video_id,video_path,input_frames_path,target_frame_path,template,label,placeholders
drop_object,110073,extracted_videos/20bn-something-something-v2/110073.webm,processed_data/frames/drop_object/110073_input.npy,processed_data/frames/drop_object/110073_target.npy,Dropping [something] behind [something],dropping toy car behind water bottle,"['toy car', 'water bottle']"
drop_object,66861,extracted_videos/20bn-something-something-v2/66861.webm,processed_data/frames/drop_object/66861_input.npy,processed_data/frames/drop_object/66861_target.npy,Dropping [something] onto [something],dropping comb onto laptop,"['comb', 'laptop']"
drop_object,170176,extracted_videos/20bn-something-something-v2/170176.webm,processed_data/frames/drop_object/170176_input.npy,processed_data/frames/drop_object/170176_target.npy,"Lifting [something] up completely, then letting it drop down","lifting iron rod up completely, then letting it drop down",['iron rod']
cover_object,54629,extracted_videos/20bn-something-something-v2/54629.webm,processed_data/frames/cover_object/54629_input.npy,processed_data/frames/cover_object/54629_target.npy,Showing [something] on top of [something],showing book on top of box,"['book', 'box']"
drop_object,61365,extracted_videos/20bn-something-something-v2/61365.webm,processed_data/frames/drop_object/61365_input.npy,processed_data/frames/drop_object/61365_target.npy,[Something] falling like a feather or paper,a tissue falling like a feather or paper,['a tissue']
move_object,65285,extracted_videos/20bn-something-something-v2/65285.webm,processed_data/frames/move_object/65285_input.npy,processed_data/frames/move_object/65285_target.npy,Pushing [something] from right to left,pushing wallet from right to left,['wallet']
drop_object,186026,extracted_videos/20bn-something-something-v2/186026.webm,processed_data/frames/drop_object/186026_input.npy,processed_data/frames/drop_object/186026_target.npy,Dropping [something] into [something],dropping ball into cup,"['ball', 'cup']"
cover_object,83775,extracted_videos/20bn-something-something-v2/83775.webm,processed_data/frames/cover_object/83775_input.npy,processed_data/frames/cover_object/83775_target.npy,Putting [something] onto [something],putting a toy onto a cone,"['a toy', 'a cone']"
move_object,215138,extracted_videos/20bn-something-something-v2/215138.webm,processed_data/frames/move_object/215138_input.npy,processed_data/frames/move_object/215138_target.npy,Pulling [something] onto [something],pulling headphone onto floor,"['headphone', 'floor']"
drop_object,212909,extracted_videos/20bn-something-something-v2/212909.webm,processed_data/frames/drop_object/212909_input.npy,processed_data/frames/drop_object/212909_target.npy,Dropping [something] behind [something],dropping plastic clip behind basket,"['plastic clip', 'basket']"
cover_object,91745,extracted_videos/20bn-something-something-v2/91745.webm,processed_data/frames/cover_object/91745_input.npy,processed_data/frames/cover_object/91745_target.npy,Covering [something] with [something],covering remote with newspaper,"['remote', 'newspaper']"
cover_object,107672,extracted_videos/20bn-something-something-v2/107672.webm,processed_data/frames/cover_object/107672_input.npy,processed_data/frames/cover_object/107672_target.npy,Showing [something] on top of [something],showing newspaper on top of cushion,"['newspaper', 'cushion']"
cover_object,126795,extracted_videos/20bn-something-something-v2/126795.webm,processed_data/frames/cover_object/126795_input.npy,processed_data/frames/cover_object/126795_target.npy,Showing [something] on top of [something],showing slippers on top of mat,"['slippers', 'mat']"
move_object,35390,extracted_videos/20bn-something-something-v2/35390.webm,processed_data/frames/move_object/35390_input.npy,processed_data/frames/move_object/35390_target.npy,Moving [something] towards the camera,moving a first aid kit towards the camera,['a first aid kit']
move_object,155128,extracted_videos/20bn-something-something-v2/155128.webm,processed_data/frames/move_object/155128_input.npy,processed_data/frames/move_object/155128_target.npy,Pushing [something] from left to right,pushing bottle of beverage from left to right,['bottle of beverage']
move_object,120246,extracted_videos/20bn-something-something-v2/120246.webm,processed_data/frames/move_object/120246_input.npy,processed_data/frames/move_object/120246_target.npy,Moving [something] up,moving a pencil up,['a pencil']
cover_object,197051,extracted_videos/20bn-something-something-v2/197051.webm,processed_data/frames/cover_object/197051_input.npy,processed_data/frames/cover_object/197051_target.npy,Uncovering [something],uncovering a sim card,['a sim card']
cover_object,62050,extracted_videos/20bn-something-something-v2/62050.webm,processed_data/frames/cover_object/62050_input.npy,processed_data/frames/cover_object/62050_target.npy,Uncovering [something],uncovering wallet,['wallet']
drop_object,22387,extracted_videos/20bn-something-something-v2/22387.webm,processed_data/frames/drop_object/22387_input.npy,processed_data/frames/drop_object/22387_target.npy,"Lifting [something] up completely, then letting it drop down","lifting a mobile phone up completely, then letting it drop down",['a mobile phone']
